"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174","test_login_case02","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","57","test_employee02[case_data1]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","150","test_login_case05[test_case1]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","52","test_employee02[case_data0]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","87","test_login_case04","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","72","test_employee04[case_employeeId1]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","167","test_employee03","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","55","test_employee01","TestSuits.ohrm_http_test","2026-06-07","failed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","58","test_employee07","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","184","test_login_case03","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","74","test_employee04[case_employeeId0]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","122","test_employee05","TestSuits.ohrm_http_test","2026-06-07","failed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","163","test_login_case05[test_case0]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","93","test_employee06[delete_case1]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","450","test_login_case01","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","327","test_login_case05[test_case2]","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestCase01","test_http_ohrm","",""
"","62","test_employee08","TestSuits.ohrm_http_test","2026-06-07","passed","2026-06-07","TestEmployee","test_http_ohrm","",""
"","86","test_employee06[delete_case0]","TestSuits.ohrm_http_test","2026-06-07","broken","2026-06-07","TestEmployee","test_http_ohrm","",""
